This is Ipopt version 3.14.4, running with linear solver MUMPS 5.4.1.

Number of nonzeros in equality constraint Jacobian...:  2602896
Number of nonzeros in inequality constraint Jacobian.:        0
Number of nonzeros in Lagrangian Hessian.............:   183883

Total number of variables............................:    30328
                     variables with only lower bounds:     3200
                variables with lower and upper bounds:     3192
                     variables with only upper bounds:        0
Total number of equality constraints.................:    27136
Total number of inequality constraints...............:        0
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0  1.6093076e+01 6.02e-01 1.05e+00  -1.0 0.00e+00    -  0.00e+00 0.00e+00   0
   1  1.6118073e+01 6.02e-01 9.88e+01  -1.0 7.84e+00   0.0 1.94e-03 1.62e-04f  1
   2  1.7007237e+01 5.99e-01 7.11e+02  -1.0 2.53e+00  -0.5 2.28e-02 4.88e-03f  1
   3  2.5186790e+01 5.71e-01 6.41e+02  -1.0 2.79e+00  -1.0 3.95e-02 4.70e-02f  1
   4  4.6268276e+01 5.04e-01 4.75e+02  -1.0 7.97e-01  -0.5 7.91e-02 1.18e-01f  1
   5  1.0126818e+02 3.57e-01 3.51e+02  -1.0 1.12e+00  -1.0 2.21e-01 2.91e-01f  1
   6  3.0176458e+02 1.80e-01 3.42e+02  -1.0 9.71e-01  -0.6 4.42e-01 4.97e-01f  1
   7  3.4414761e+02 9.39e-02 7.63e+02  -1.0 2.98e-01   0.7 7.70e-01 4.78e-01f  1
   8  3.5773267e+02 9.67e-03 2.41e+02  -1.0 1.16e-01   1.2 1.00e+00 1.00e+00f  1
   9  3.2517017e+02 5.16e-03 9.24e+02  -1.0 1.29e-01   1.6 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  10  3.2300204e+02 2.35e-04 9.42e+01  -1.0 1.95e-02   2.0 1.00e+00 1.00e+00f  1
  11  3.3935324e+02 1.21e-04 7.63e+01  -1.0 1.47e-02   1.6 1.00e+00 1.00e+00f  1
  12  3.7952134e+02 2.63e-04 1.46e+00  -1.0 3.05e-02   1.1 1.00e+00 1.00e+00f  1
  13  4.6351672e+02 6.81e-04 1.15e+00  -1.0 6.14e-02   0.6 1.00e+00 1.00e+00f  1
  14  6.0761843e+02 2.53e-03 1.90e+00  -1.0 1.20e-01   0.1 1.00e+00 1.00e+00f  1
  15  8.1340405e+02 6.61e-03 3.82e+00  -1.0 2.17e-01  -0.4 1.00e+00 1.00e+00f  1
  16  1.0432315e+03 4.78e-02 1.53e+01  -1.0 4.34e-01  -0.8 1.00e+00 1.00e+00f  1
  17  1.1182592e+03 4.63e-03 8.20e+00  -1.0 2.59e-01  -0.4 1.00e+00 1.00e+00f  1
  18  1.2050107e+03 3.45e-03 6.50e+00  -1.0 1.30e-01  -0.9 1.00e+00 1.00e+00f  1
  19  1.2636578e+03 1.73e-01 3.81e+01  -1.0 6.43e-01  -1.4 1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  20  1.2893177e+03 3.65e-02 2.08e+02  -1.0 2.64e-01  -0.0 1.00e+00 1.00e+00h  1
  21  1.3546509e+03 2.88e-02 5.78e+02  -1.0 6.51e-01  -0.5 1.00e+00 5.00e-01h  2
  22  1.3277691e+03 1.32e-02 3.24e+02  -1.0 2.13e-01   0.8 1.00e+00 1.00e+00f  1
  23  1.2872462e+03 1.03e-02 7.12e+02  -1.0 1.11e-01   1.2 1.00e+00 1.00e+00f  1
  24  1.2684028e+03 1.12e-03 7.00e+01  -1.0 5.49e-02   1.7 1.00e+00 1.00e+00f  1
  25  1.2675247e+03 1.09e-03 3.35e+02  -1.0 3.45e-02   1.2 1.00e+00 1.00e+00f  1
  26  1.2683373e+03 5.26e-04 7.16e+00  -1.0 3.25e-02   0.7 1.00e+00 1.00e+00f  1
  27  1.2692180e+03 5.75e-04 5.20e+00  -1.0 3.90e-02   0.2 1.00e+00 1.00e+00f  1
  28  1.2714915e+03 1.45e-03 1.69e+00  -1.0 5.26e-02  -0.2 1.00e+00 1.00e+00h  1
